SeriesInd,S01Var01,S01Var02,S02Var02,S02Var03,S03Var05,S03Var07,S04Var01,S04Var02,S05Var02,S05Var03,S06Var05,S06Var07
40669,26.610001,10369300,60855800,10.05,30.48999971,30.57285686,17.200001,16587400,27809100,68.190002,27.02,27.32
40670,26.299999,10943800,215620200,10.4,30.65714257,30.62571329,17.23,11718100,30174700,68.800003,27.27,28.07
40671,26.030001,8933800,200070600,11.13,30.62571329,30.13857071,17.299999,16422000,35044700,69.339996,28.030001,28.110001
40672,25.84,10775400,130201700,11.32,30.25,30.08285714,16.9,31816300,27192100,69.419998,28.120001,29.129999
40673,26.34,12875600,130463000,11.46,30.04285629,30.28285786,16.76,15470000,24891800,69.220001,28.9,28.860001
40676,26.49,11677000,170626200,11.78,30.39999957,30.01571471,16.83,16181900,30685000,69.650002,29.09,28.799999
40677,26.030001,21165300,162995900,11.72,29.884285,29.67428586,16.860001,15672400,31496700,69.519997,28.469999,28.08
40678,25.16,18809200,154527100,11.47,29.695715,30.09285743,16.98,16955600,24884400,69.260002,27.99,28.58
40679,25,22908400,116531200,11.51,30.01571471,29.91857143,17.23,16715600,18630800,69.349998,28.5,28.99
40680,24.77,20359100,96149800,11.55,30.13285643,29.41857143,17.25,18415000,29411900,68.650002,28.82,28.08
40684,24.780001,11783800,65934000,11.46,29.76142886,30.71999929,16.959999,15182600,26081900,68.419998,27.93,28.280001
40685,24.610001,13253500,71649500,11.5,30.70142943,30.24714286,16.68,14419500,34629500,67.93,28.02,27.82
40686,24.879999,18407800,121451400,11.01,30.297142,29.72428514,16.58,21858400,39114000,66.5,27.98,28
40687,24.17,21806400,161530100,10.41,29.54000086,28.25,16.209999,25132800,39085500,66,27.969999,27.26
40690,23.82,20192100,121621500,10.61,28.93000029,29.01000029,16.110001,19683700,29305100,65.690002,27.450001,27.66
40691,23.9,19646700,108250500,11.07,29.42142871,29.42000014,16.17,43979400,34083300,65.5,27.450001,26.99
40692,23.66,19535100,105091600,11.22,29.54999929,29.69714357,16.49,41701000,35723500,65,26.9,28.200001
40693,23.51,20198600,203320000,11.27,29.27571486,28.46999929,15.96,30159500,37349800,64.57,28.280001,28.450001
40694,23.370001,23137300,159741200,10.7,28.72571371,27.43714329,15.67,39664600,40880500,64.019997,28.440001,28.43
40697,23.08,13199000,82748200,10.93,27.48142814,27.81857114,15.3,29865700,37703000,65.349998,,
40698,23.370001,11891100,119714900,11.19,27.98714257,27.97999957,15.32,27555200,34057900,66.470001,28.959999,28.790001
40699,23.32,12877300,90125500,11.42,27.88142771,28.46142771,15.6,24730600,24024700,66.559998,28.57,28.139999
40700,23.01,14643500,129792200,11,28.10428614,27.43571471,15.52,27668100,33858200,64.68,27.950001,27.059999
40701,23.129999,23094000,181535200,10.49,27.51857186,27.92285729,15.25,20713800,42297500,63.560001,27.299999,27.42
40704,23.370001,16138900,92031400,10.88,27.95571514,27.73142814,15.47,19856400,30519400,64.339996,27.23,26.43
40705,23.66,17494900,83207100,11.02,28.05999943,28.02714343,15.24,16716900,36243300,64.559998,26.889999,26.709999
40706,23.58,12401200,73395600,10.9,27.98428529,27.87428671,15.02,36518100,21699100,64.160004,26.610001,27.18
40707,24,16194800,65116200,10.88,27.84000014,28.38142771,15.25,24509500,23555200,64.410004,27.15,27.08
40708,24.27,21796600,69465400,10.85,28.30142786,28.62571329,15.19,18926400,30636200,64.279999,26.790001,26.879999
40712,24.879999,22856400,62537500,11.11,28.84857171,29.05714229,15.48,21447200,30514900,65.080002,27.190001,27.389999
40713,24.969999,19430500,65983200,11.35,29.17000014,28.93571471,15.52,12731900,21821800,65.57,27.59,27.33
40714,24.860001,13218600,53406800,11.29,28.804285,28.98999971,15.6,13700100,22536700,65.349998,27.299999,27.34
40715,25.059999,15979000,46990000,11.26,28.837143,28.80999943,15.71,15407900,24264600,65.43,27.08,27.370001
40718,25.15,11176800,41993100,11.18,28.905714,28.63142771,15.68,10463500,20469700,65.25,27.48,28.01
40719,24.719999,12905800,114688400,11.15,28.57142829,28.15142829,15.51,18346700,33372900,64.150002,27.950001,27.290001
40720,25,14513800,84200800,11.65,28.31857114,28.66571429,15.71,19284200,21469600,64.769997,27.450001,27.66
40721,24.549999,17886100,83114500,11.4,28.19714357,28.85714343,15.35,20126900,25668800,64.370003,27.17,27.440001
40722,24.610001,13204600,72368400,11.61,28.91142843,29.23142814,15.41,14975600,20129700,64.919998,27.49,27.34
40725,24.93,14892800,142605500,11.75,29.39285657,29.85571486,15.83,17238000,18798600,65.089996,27.450001,27.35
40726,24.92,16888500,193706600,12.18,29.98999971,29.83571429,15.96,20101800,24823900,65.150002,27.4,27.870001
40727,24.790001,13012700,157004600,12.35,29.84857171,29.90428543,15.85,20613800,22279800,65.379997,27.950001,28.200001
40728,24.75,13538000,89836800,12.52,29.89714243,30.101429,15.85,22906000,21961100,65.080002,28.35,28.43
40729,25.09,10345800,106920600,12.83,30.70571514,31.27857214,16.379999,21415000,26837900,65.779999,28.629999,29.15
40732,25.09,22269200,78903200,12.79,31.43000029,31.297142,16.610001,30554000,20297200,66.230003,29.129999,28.889999
40733,24.49,27986900,83934300,12.73,31.18714329,31.86000057,16.719999,20755200,29003100,66.220001,28.780001,28.98
40734,24.68,13878500,56850600,12.8,31.97571371,32.119999,16.940001,33088600,24810300,66.779999,29.129999,29.57
40735,24.4,23056400,59274700,12.75,31.98714257,32.21428686,16.65,21732900,19357400,66.980003,29.530001,29.76
40736,24.24,15073900,104771000,12.98,32.48143,32.37142943,16.59,23106400,23361800,66.5,29.83,29.629999
40739,23.99,9053400,95072200,13.32,32.19714357,31.97714229,16.639999,18967700,22070000,65.900002,29.48,29.889999
40740,24.75,18282000,74692700,13.32,32.02571486,32.06428529,16.59,18309900,35103700,66,29.93,30.280001
40741,25,12620400,137318700,13.55,32.12857057,32.01714329,16.629999,13754600,38770000,66.800003,30.41,30.549999
40742,25,10499500,235094400,13.65,32.014286,32.09285743,16.57,12626200,25925500,67.010002,30.469999,30.290001
40743,24.73,16945400,252411200,13.04,32.11285786,31.75,16.809999,17871000,45564200,66.43,30.379999,30.379999
40746,24.75,10651200,170576100,12.81,31.49571414,32.10714343,16.540001,18743500,21390600,66.32,30.09,30.41
40747,25.48,17937200,167002400,13.81,32.23428729,32.62285614,16.34,31875700,24754700,66.449997,30.469999,31.08
40748,25.33,16894900,91765400,13.76,32.52000043,32.76714329,16.200001,32654500,19748800,66.230003,30.84,30.860001
40749,25.219999,11306500,88909300,13.76,32.98857114,32.37857057,16.59,27487400,21095600,66.239998,31.030001,31.059999
40750,25.030001,10138000,60400400,13.76,32.70714186,32.985714,16.57,23224900,30553400,66.169998,31.209999,31.219999
40753,25.07,9217600,158225000,13.39,33.28571314,33.19857029,16.68,14902800,26122200,66.589996,31.35,31.1
40754,24.889999,11074400,142055200,13.18,33.79999929,33.69285586,16.690001,16204100,17745900,66.790001,31.1,30.84
40755,24.77,9899700,433659100,12.42,33.64142986,33.57143014,16.58,11996900,22352500,66.599998,30.58,31.120001
40756,25,9057000,212952100,12.58,33.91571429,33.70999914,16.6,20103800,19614700,67.190002,31.4,31.370001
40760,25.5,14225500,88957200,12.76,33.568573,34.06999971,16.559999,9220200,20901100,67.720001,31.49,31.51
40761,25.299999,10626400,76423800,12.6,34.02857214,34.22000129,16.98,25696700,19776800,67.800003,31.360001,32.279999
40762,25.4,13333000,88112400,12.53,34.22142786,34.37142943,16.92,19921000,24531500,66.970001,32.279999,31.99
40763,25.32,16002500,77491400,12.34,34.34857171,34.27857214,17.41,45369200,24060800,66.849998,31.790001,32.23
40764,24.969999,13451500,60408600,12.61,34.49000171,34.54142757,18.07,47732000,21099600,68.07,32.400002,32.299999
40767,25.98,18574600,50783100,12.64,34.59999843,34.61285786,17.879999,22828900,18170300,68.580002,32.400002,32.419998
40768,26,11606700,71008500,12.71,34.55142971,34.63285829,18.299999,47514500,19177100,68.07,32.16,32.150002
40769,26.91,20317400,153602100,12.86,35.04000086,35.09857171,18.469999,41024800,18777800,68.360001,32.459999,33.279999
40770,27,11570500,159110500,13.41,35.11142729,35.56000143,19.120001,60024700,16712900,68.150002,33.23,33.509998
40771,26.809999,14772100,149640000,13.3,35.50999829,35.34285743,18.68,51424700,33855100,67.709999,33.209999,32.560001
40774,26.68,13289700,95855100,13.36,35.29000086,35.29571529,18.4,26971800,25686000,67.57,32.619999,33.02
